time,rule,direction,entry,exit,pnl,result,detail,bar_idx,coin
2026-06-18 15:15:00,HC4,LONG,63394.6,63242.4,-5,LOSS,K=12 V=3.3x,109,BTC-USDT
2026-06-18 15:55:00,HC4,LONG,62373.0,62697.1,4,WIN,K=5 V=1.8x,117,BTC-USDT
2026-06-18 22:15:00,HC4,LONG,62812.2,62839.1,4,WIN,K=18 V=2.3x,193,BTC-USDT
2026-06-19 03:10:00,HC4,LONG,62738.7,62846.7,4,WIN,K=16 V=3.3x,252,BTC-USDT
2026-06-19 04:55:00,HC4,LONG,62452.9,62662.8,4,WIN,K=15 V=2.1x,273,BTC-USDT
2026-06-19 05:30:00,HC2,LONG,62598.5,62657.1,4,WIN,V=1.7x RSIdiv,280,BTC-USDT
2026-06-19 07:30:00,HC4,LONG,62681.1,62550.0,-5,LOSS,K=15 V=2.8x,304,BTC-USDT
2026-06-19 09:15:00,HC4,LONG,62421.9,62371.6,-5,LOSS,K=15 V=1.5x,325,BTC-USDT
2026-06-19 09:45:00,HC5,LONG,62340.1,62374.0,4,WIN,BB=0.09 R7=28,331,BTC-USDT
2026-06-19 12:45:00,HC5,LONG,62388.9,62832.9,4,WIN,BB=-0.12 R7=29,367,BTC-USDT
2026-06-19 16:55:00,HC5,LONG,62978.0,62970.8,-5,LOSS,BB=-0.02 R7=26,417,BTC-USDT
2026-06-19 17:25:00,HC2,LONG,62925.0,63053.9,4,WIN,V=1.3x RSIdiv,423,BTC-USDT
2026-06-19 19:25:00,HC4,LONG,63002.5,62980.4,-5,LOSS,K=13 V=2.0x,447,BTC-USDT
2026-06-19 22:05:00,HC2,LONG,63099.3,63191.9,4,WIN,V=1.5x RSIdiv,479,BTC-USDT
2026-06-20 08:10:00,HC5,LONG,63536.2,63508.2,-5,LOSS,BB=-0.08 R7=21,600,BTC-USDT
2026-06-20 08:40:00,HC1,LONG,63437.4,63394.5,-5,LOSS,R7=17 P20=0.04,606,BTC-USDT
2026-06-20 12:35:00,HC5,LONG,63608.3,63612.4,4,WIN,BB=-0.09 R7=27,653,BTC-USDT
2026-06-20 13:20:00,HC4,LONG,63331.2,63367.3,4,WIN,K=8 V=4.0x,662,BTC-USDT
2026-06-20 14:00:00,HC2,LONG,63348.3,63220.7,-5,LOSS,V=1.7x RSIdiv,670,BTC-USDT
2026-06-20 16:30:00,HC4,LONG,63946.3,64003.1,4,WIN,K=15 V=1.6x,700,BTC-USDT
2026-06-21 01:30:00,HC3,LONG,64241.2,64257.3,4,WIN,V=1.7x Candle,808,BTC-USDT
2026-06-21 05:00:00,HC5,LONG,64260.3,64236.2,-5,LOSS,BB=-0.04 R7=22,850,BTC-USDT
2026-06-21 07:25:00,HC4,LONG,64173.0,64234.8,4,WIN,K=12 V=2.8x,879,BTC-USDT
2026-06-21 08:00:00,HC4,LONG,64190.8,64121.0,-5,LOSS,K=15 V=1.6x,886,BTC-USDT
2026-06-21 08:30:00,HC4,LONG,63958.4,63975.4,4,WIN,K=4 V=6.5x,892,BTC-USDT
2026-06-21 09:00:00,HC3,LONG,64001.9,63965.8,-5,LOSS,V=3.0x Candle,898,BTC-USDT
2026-06-21 12:25:00,HC1,LONG,64022.6,63987.4,-5,LOSS,R7=23 P20=0.06,939,BTC-USDT
2026-06-21 14:35:00,HC4,LONG,64041.8,64049.7,4,WIN,K=14 V=1.9x,965,BTC-USDT
2026-06-21 16:30:00,HC5,LONG,64054.9,64106.5,4,WIN,BB=-0.25 R7=29,988,BTC-USDT
2026-06-21 18:00:00,HC5,LONG,63988.1,64008.7,4,WIN,BB=-0.13 R7=26,1006,BTC-USDT
2026-06-21 20:40:00,HC4,LONG,63974.0,63838.2,-5,LOSS,K=2 V=4.2x,1038,BTC-USDT
2026-06-21 21:10:00,HC4,LONG,63628.9,63700.0,4,WIN,K=12 V=3.7x,1044,BTC-USDT
2026-06-21 23:30:00,HC5,LONG,63395.4,63324.7,-5,LOSS,BB=-0.27 R7=24,1072,BTC-USDT
2026-06-22 00:00:00,HC4,LONG,63440.4,63515.6,4,WIN,K=14 V=2.5x,1078,BTC-USDT
2026-06-22 03:00:00,HC3,LONG,64142.9,64044.1,-5,LOSS,V=2.6x Candle,1114,BTC-USDT
2026-06-22 04:15:00,HC1,LONG,63905.0,63967.0,4,WIN,R7=25 P20=0.04,1129,BTC-USDT
2026-06-22 06:55:00,HC5,LONG,63993.0,64110.9,4,WIN,BB=0.09 R7=27,1161,BTC-USDT
2026-06-22 14:35:00,HC4,LONG,64937.4,65033.3,4,WIN,K=10 V=1.6x,1253,BTC-USDT
2026-06-22 15:50:00,HC5,LONG,64834.1,64744.8,-5,LOSS,BB=-0.06 R7=30,1268,BTC-USDT
2026-06-22 16:35:00,HC1,LONG,64639.5,64589.3,-5,LOSS,R7=25 P20=0.10,1277,BTC-USDT
